"","date","temp","dew_pt","hum","wind_spd","wind_gust","dir","vis","pressure","wind_chill","heat_index","precip","precip_rate","precip_total","cond","fog","rain","snow","hail","thunder","tornado"
"45",2018-01-07 02:30:00,62,59,87,4.6,NA,"NW",1,29.88,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"46",2018-01-07 05:30:00,59,56,85,4.6,NA,"NW",1,29.91,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"47",2018-01-07 08:30:00,60,57,86,4.6,NA,"NNW",1,29.98,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"48",2018-01-07 11:30:00,76,63,55,4.6,NA,"East",2,29.96,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"49",2018-01-07 14:30:00,81,69,59,3.5,NA,"East",2,29.86,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"50",2018-01-07 17:30:00,77,63,52,4.6,NA,"ENE",2,29.87,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"51",2018-01-07 20:30:00,71,64,71,0,NA,"",2,29.94,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"52",2018-01-07 23:30:00,64,61,88,4.6,NA,"NW",1,29.94,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"53",2018-01-08 02:30:00,63,61,90,4.6,NA,"NW",1,29.91,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"54",2018-01-08 05:30:00,61,59,91,4.6,NA,"NW",1,29.94,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"55",2018-01-08 08:30:00,63,60,85,4.6,NA,"NNW",1,30.04,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"56",2018-01-08 11:30:00,77,57,39,2.3,NA,"North",2,30.02,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"57",2018-01-08 14:30:00,81,60,39,4.6,NA,"ENE",2,29.96,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"58",2018-01-08 17:30:00,76,56,40,4.6,NA,"NE",2,29.96,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"59",2018-01-08 20:30:00,69,59,64,0,NA,"",2,30.01,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"60",2018-01-08 23:30:00,62,56,74,4.6,NA,"NNW",2,30.01,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"61",2018-01-09 02:30:00,60,58,89,3.5,NA,"NNW",1,29.98,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"62",2018-01-09 05:30:00,57,54,88,4.6,NA,"NNW",1,30.01,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"63",2018-01-09 08:30:00,62,56,77,4.6,NA,"NNW",1,30.1,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"64",2018-01-09 11:30:00,75,60,51,4.6,NA,"NE",2,30.07,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"65",2018-01-09 14:30:00,79,60,41,6.9,NA,"ENE",2,29.97,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"66",2018-01-09 17:30:00,73,59,53,4.6,NA,"East",2,29.98,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"67",2018-01-09 20:30:00,68,59,65,0,NA,"",2,30.03,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"68",2018-01-09 23:30:00,63,57,75,4.6,NA,"NW",2,30.04,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"69",2018-01-10 02:30:00,62,57,79,4.6,NA,"NW",1,30,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"70",2018-01-10 05:30:00,60,56,84,4.6,NA,"NW",1,30.01,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"71",2018-01-10 08:30:00,62,58,81,4.6,NA,"NNW",1,30.09,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"72",2018-01-10 11:30:00,76,65,60,4.6,NA,"ENE",2,30.07,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"73",2018-01-10 14:30:00,80,64,48,6.9,NA,"ENE",2,29.98,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"74",2018-01-10 17:30:00,76,62,52,4.6,NA,"ENE",2,29.98,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"75",2018-01-10 20:30:00,68,62,76,2.3,NA,"NW",2,30.04,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"76",2018-01-10 23:30:00,64,60,83,2.3,NA,"NW",1,30.03,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"77",2018-01-11 02:30:00,63,60,85,4.6,NA,"NW",1,30,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"78",2018-01-11 05:30:00,61,58,85,2.3,NA,"NW",1,29.99,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"79",2018-01-11 08:30:00,63,60,85,4.6,NA,"NNW",1,30.05,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"80",2018-01-11 11:30:00,79,60,42,3.5,NA,"SE",2,30.02,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"81",2018-01-11 14:30:00,79,67,57,4.6,NA,"SE",2,29.93,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"82",2018-01-11 17:30:00,75,69,77,2.3,NA,"SE",2,29.92,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"83",2018-01-11 20:30:00,72,66,75,0,NA,"",2,29.97,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"84",2018-01-11 23:30:00,68,65,87,0,NA,"",1,29.97,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"85",2018-01-12 05:30:00,62,59,88,4.6,NA,"NNW",1,29.94,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"86",2018-01-12 08:30:00,64,62,90,4.6,NA,"NNW",1,30.01,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"87",2018-01-12 11:30:00,80,69,60,2.3,NA,"ESE",2,29.98,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"88",2018-01-12 14:30:00,81,71,64,2.3,NA,"SE",2,29.88,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"89",2018-01-12 17:30:00,76,72,84,4.6,NA,"South",2,29.89,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"90",2018-01-12 20:30:00,73,71,92,0,NA,"",2,29.96,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"91",2018-01-12 23:30:00,70,68,91,0,NA,"",1,29.96,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"92",2018-01-13 02:30:00,68,67,94,0,NA,"",1,29.94,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
